2023-07-25 19:07:897 INFO  ComputerPage :29 - Click in on desktop[[ChromeDriver: chrome on windows (bf34597bf5beeb34248fe6cc21384d4e)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Desktops']]
2023-07-25 19:07:897 INFO  BuildYourOwnComputerPage :43 - Click on build your onw comupter:[[ChromeDriver: chrome on windows (bf34597bf5beeb34248fe6cc21384d4e)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
2023-07-25 19:07:131 INFO  BuildYourOwnComputerPage :48 - Select Process:[[ChromeDriver: chrome on windows (bf34597bf5beeb34248fe6cc21384d4e)] -> xpath: //select[@id='product_attribute_1']]
2023-07-25 19:07:415 INFO  BuildYourOwnComputerPage :52 - Select Ram:[[ChromeDriver: chrome on windows (bf34597bf5beeb34248fe6cc21384d4e)] -> xpath: //select[@id='product_attribute_2']]
2023-07-25 19:07:569 INFO  BuildYourOwnComputerPage :57 - Select HDD:[[ChromeDriver: chrome on windows (bf34597bf5beeb34248fe6cc21384d4e)] -> xpath: //input[@name='product_attribute_3']]
2023-07-25 19:07:703 INFO  BuildYourOwnComputerPage :61 - Select OS:[[ChromeDriver: chrome on windows (bf34597bf5beeb34248fe6cc21384d4e)] -> xpath: //input[@name='product_attribute_4']]
2023-07-25 19:07:846 INFO  BuildYourOwnComputerPage :65 - Click on total Commander:[[ChromeDriver: chrome on windows (bf34597bf5beeb34248fe6cc21384d4e)] -> xpath: //input[@name='product_attribute_5']]
2023-07-25 19:07:971 INFO  BuildYourOwnComputerPage :69 - Click on Add to cart:[[ChromeDriver: chrome on windows (bf34597bf5beeb34248fe6cc21384d4e)] -> xpath: //button[@id='add-to-cart-button-1']]
2023-07-25 19:07:994 INFO  HomePage :48 - Click in on menu[[[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-07-25 19:07:62 INFO  ComputerPage :29 - Click in on desktop[[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Desktops']]
